experiment,cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_intensity_mean_disk,foci_radius,signal_to_cell_ratio,foci_x,foci_y
Ex 3 day 1810,1,1,-0.0029,5.3646,4.2972,2.83,-1851.55,746,48
Ex 3 day 1810,1,2,-0.0029,4.9535,4.254,2.83,-1709.67,690,93
Ex 3 day 1810,1,3,-0.0029,3.9829,2.8566,3.3,-1374.66,702,159
Ex 3 day 1810,1,4,-0.0029,3.5564,2.6513,3.77,-1227.45,745,142
Ex 3 day 1810,1,5,-0.0029,3.4865,2.5845,3.77,-1203.32,773,125
Ex 3 day 1810,1,6,-0.0029,3.1097,2.7046,2.83,-1073.28,732,157
Ex 3 day 1810,1,7,-0.0029,3.218,2.2743,4.24,-1110.67,739,98
Ex 3 day 1810,1,8,-0.0029,2.7462,2.3617,2.83,-947.84,744,62
Ex 3 day 1810,1,9,-0.0029,3.2847,2.0435,3.3,-1133.69,729,140
Ex 3 day 1810,1,10,-0.0029,3.0358,2.1092,4.71,-1047.77,657,77
Ex 3 day 1810,1,11,-0.0029,3.1534,2.4351,3.3,-1088.37,774,79
Ex 3 day 1810,1,12,-0.0029,3.1432,2.7052,2.83,-1084.85,778,61
Ex 3 day 1810,1,13,-0.0029,2.7807,1.9569,3.3,-959.73,782,109
Ex 3 day 1810,1,14,-0.0029,3.2527,2.8049,2.83,-1122.63,758,150
Ex 3 day 1810,1,15,-0.0029,3.0563,2.018,3.3,-1054.86,761,123
Ex 3 day 1810,1,16,-0.0029,2.5789,1.9896,2.83,-890.09,748,80
Ex 3 day 1810,1,17,-0.0029,2.1724,1.7954,2.83,-749.77,678,69
Ex 3 day 1810,1,18,-0.0029,3.2388,2.3619,3.3,-1117.83,680,148
Ex 3 day 1810,1,19,-0.0029,2.2662,1.8184,2.83,-782.16,771,49
Ex 3 day 1810,1,20,-0.0029,2.7335,2.4414,2.83,-943.44,716,99
Ex 3 day 1810,1,21,-0.0029,2.3329,1.8387,2.83,-805.16,751,66
Ex 3 day 1810,1,22,-0.0029,2.1004,1.6297,4.24,-724.94,717,63
Ex 3 day 1810,1,23,-0.0029,1.6865,1.2798,4.24,-582.07,680,56
Ex 3 day 1810,1,24,-0.0029,2.8793,2.5113,2.83,-993.78,659,109
Ex 3 day 1810,1,25,-0.0029,1.5601,1.2179,3.3,-538.46,759,60
Ex 3 day 1810,1,26,-0.0029,1.9916,1.6037,2.83,-687.39,738,114
Ex 3 day 1810,1,27,-0.0029,1.6333,1.289,2.83,-563.72,702,188
Ex 3 day 1810,1,28,-0.0029,1.8064,1.0839,3.3,-623.47,671,83
Ex 3 day 1810,1,29,-0.0029,2.5258,1.7048,2.83,-871.74,731,116
Ex 3 day 1810,1,30,-0.0029,1.5912,1.1243,2.83,-549.18,657,172
Ex 3 day 1810,1,31,-0.0029,2.1735,1.7724,2.83,-750.18,648,100
Ex 3 day 1810,1,32,-0.0029,1.7914,1.5422,2.83,-618.3,731,178
Ex 3 day 1810,1,33,-0.0029,1.1909,1.1272,5.19,-411.04,700,44
Ex 3 day 1810,1,34,-0.0029,1.7229,1.3951,2.83,-594.66,714,78
Ex 3 day 1810,1,35,-0.0029,2.0296,1.6195,2.83,-700.49,734,128
Ex 3 day 1810,1,36,-0.0029,2.3714,1.6963,3.3,-818.47,644,128
Ex 3 day 1810,1,37,-0.0029,1.5525,1.1591,2.83,-535.83,679,177
Ex 3 day 1810,2,38,0.0384,3.447,2.9934,2.83,89.66,623,63
Ex 3 day 1810,2,39,0.0384,3.2324,2.8036,2.83,84.08,601,82
Ex 3 day 1810,2,40,0.0384,2.9808,2.0715,3.3,77.54,585,97
